rank,search_url,url,title,source_listing_id,listing_type,matches_query
2,https://modesto.craigslist.org/search/cta?query=lexus+is+350&sort=rel,https://modesto.craigslist.org/ctd/d/salida-most-wanted-check-out-this-2019/7917785201.html,MOST WANTED!!! Check out this 2019 Lexus ES 350 F SPORT ES350 low mile,7917785201,ctd,True
2,https://sacramento.craigslist.org/search/cta?query=lexus+is+350&sort=rel&min_price=10000&max_price=15000,https://sacramento.craigslist.org/ctd/d/sacramento-2014-lexus-is-350/7914992196.html,2014 Lexus IS 350,7914992196,ctd,True
2,https://sacramento.craigslist.org/search/cta?query=lexus+is+350&sort=rel&min_price=20000,https://sacramento.craigslist.org/ctd/d/sacramento-2023-lexus-is-is-350-sport/7917784284.html,2023 Lexus IS IS 350 F SPORT AUTONATION,7917784284,ctd,True
2,https://sfbay.craigslist.org/search/cta?query=lexus+is+350&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/eby/ctd/d/hayward-2006-lexus-is-350-base-4dr-sedan/7916526810.html,2006 Lexus IS 350 Base 4dr Sedan,7916526810,ctd,True
2,https://sfbay.craigslist.org/search/cta?query=lexus+is+350&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/cto/d/cupertino-2010-lexus-is350-convertible/7917794238.html,2010 Lexus IS350 convertible - only 75.000 miles,7917794238,cto,True
2,https://stockton.craigslist.org/search/cta?query=lexus+is+350&sort=rel&min_price=15000,https://stockton.craigslist.org/ctd/d/sacramento-2020-lexus-is350-sport-we/7916298771.html,2020 Lexus IS350 F Sport \*WE FINANCE\*,7916298771,ctd,True
3,https://sacramento.craigslist.org/search/cta?query=lexus+is+350&sort=rel&min_price=20000,https://sacramento.craigslist.org/ctd/d/sacramento-2020-lexus-is350-sport-we/7916548436.html,2020 Lexus IS350 F Sport \*WE FINANCE\*,7916548436,ctd,True
3,https://sfbay.craigslist.org/search/cta?query=lexus+is+350&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sfc/ctd/d/sacramento-2020-lexus-is350-sport-we/7916548425.html,2020 Lexus IS350 F Sport \*WE FINANCE\*,7916548425,ctd,True
4,https://sacramento.craigslist.org/search/cta?query=lexus+is+350&sort=rel&min_price=15000&max_price=20000,https://sacramento.craigslist.org/ctd/d/sacramento-2014-lexus-is-350/7913928896.html,2014 Lexus IS 350,7913928896,ctd,True
8,https://sfbay.craigslist.org/search/cta?query=lexus+is+350&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/nby/cto/d/petaluma-lexus-is350-sport-for-sale/7914064486.html,Lexus IS350 F Sport for Sale,7914064486,cto,True
20,https://sfbay.craigslist.org/search/cta?query=lexus+is+350&sort=rel&max_price=9000,https://sfbay.craigslist.org/eby/ctd/d/fremont-2022-lexus-is-350-sport-sedan/7912587891.html,2022 Lexus IS 350 F SPORT sedan Infrared,7912587891,ctd,True
21,https://sfbay.craigslist.org/search/cta?query=lexus+is+350&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/sfc/ctd/d/gilroy-2006-lexus-is-350-base-4dr-sedan/7912424447.html,2006 Lexus IS 350 Base 4dr Sedan,7912424447,ctd,True
