rank,search_url,url,title,source_listing_id,listing_type,is_camry_keyword,is_toyota_keyword,is_toyota_camry_title
100,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2002-toyota-camry-xle-4dr-sedan/7916683585.html,2002 Toyota Camry XLE 4dr Sedan,7916683585,ctd,True,True,True
104,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/saratoga-2018-toyota-camry-hybrid-se/7916644503.html,2018 Toyota Camry Hybrid SE,7916644503,cto,True,True,True
105,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2012-toyota-camry-xle/7913785016.html,2012 TOYOTA CAMRY XLE HYBRID LOADED\*LOW MILES\*MUST SEE!!!!,7913785016,ctd,True,True,True
108,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/sunnyvale-2019-toyota-camry-xse-4dr/7916574827.html,2019 Toyota Camry XSE 4dr Sedan WE SHIP CALIFORNIA CARS ANYWHERE!,7916574827,ctd,True,True,True
114,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2012-toyota-camry-hybrid/7916524809.html,2012 Toyota Camry Hybrid XLE 4dr Sedan - We Finance !!!,7916524809,ctd,True,True,True
116,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/sunnyvale-2016-toyota-camry-hybrid-xle/7916484986.html,2016 Toyota Camry Hybrid XLE Sedan ( 2018 2017 2015 ),7916484986,ctd,True,True,True
117,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2009-toyota-camry-le-4dr-sedan/7916484301.html,2009 Toyota Camry LE 4dr Sedan / Low Mileage,7916484301,ctd,True,True,True
118,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2016-toyota-camry-le-4dr-sedan/7916484045.html,2016 Toyota Camry LE 4dr Sedan,7916484045,ctd,True,True,True
120,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/san-jose-2012-black-toyota-camry-le/7916454980.html,2012 Black Toyota Camry LE 120000 miles 1st owner clean title,7916454980,cto,True,True,True
121,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2014-toyota-camry-se-low-93k/7916448597.html,2014 Toyota Camry SE Low 93K Miles Clean Title,7916448597,ctd,True,True,True
123,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2025-toyota-camry-le/7914043055.html,2025 Toyota Camry LE Certified Electric AUTONATION,7914043055,ctd,True,True,True
126,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/oakland-2012-toyota-camry-le-sedan/7914058315.html,2012 Toyota Camry LE sedan Classic Silver Metallic,7914058315,ctd,True,True,True
127,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/oakland-2026-toyota-camry-xle-sedan-red/7914058338.html,2026 Toyota Camry XLE sedan Red,7914058338,ctd,True,True,True
129,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/fremont-2020-toyota-camry-le-clean/7914080538.html,2020 Toyota Camry LE- Clean Title- Excellent Condition- Low Price,7914080538,ctd,True,True,True
130,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2020-toyota-camry-le-4dr-sedan/7914081365.html,2020 Toyota Camry LE 4dr Sedan MUST SEE!,7914081365,ctd,True,True,True
132,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/salinas-2023-toyota-camry-se-sedan/7916401562.html,2023 Toyota Camry SE sedan Celestial Silver Metallic,7916401562,ctd,True,True,True
134,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/salinas-2022-toyota-camry-le-sedan/7916397686.html,2022 Toyota Camry LE sedan Predawn Gray Mica,7916397686,ctd,True,True,True
139,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/daly-city-2025-toyota-camry/7914214884.html,2025 Toyota CAMRY,7914214884,ctd,True,True,True
144,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2014-toyota-camry-se-sedan-4d/7916297371.html,2014 Toyota Camry SE Sedan 4D,7916297371,ctd,True,True,True
145,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/cto/d/san-jose-2007-toyota-camry-se-sport/7914343703.html,2007 Toyota Camry SE – Sport Edition | Sunroof | Clean | Reliable,7914343703,cto,True,True,True
151,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2020-toyota-camry-se-4dr-sedan/7916086230.html,2020 Toyota Camry SE 4dr Sedan Sedan,7916086230,ctd,True,True,True
152,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2012-toyota-camry-se-clean/7916074789.html,2012 Toyota Camry SE – Clean Title – 1 Owner,7916074789,ctd,True,True,True
154,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/sunnyvale-2015-toyota-camry-xse/7916044793.html,2015 TOYOTA CAMRY XSE,7916044793,cto,True,True,True
155,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2011-toyota-camry-se-4dr-sedan-6a/7916027061.html,2011 Toyota Camry SE 4dr Sedan 6A,7916027061,ctd,True,True,True
156,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/oakland-2026-toyota-camry-xse-sedan/7914496660.html,2026 Toyota Camry XSE sedan Ocean,7914496660,ctd,True,True,True
157,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2020-toyota-camry-le-4dr-sedan/7916008631.html,2020 TOYOTA CAMRY LE 4DR SEDAN MUST SEE!,7916008631,ctd,True,True,True
158,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2018-toyota-camry-le/7915998723.html,2018 Toyota Camry LE AUTONATION,7915998723,ctd,True,True,True
164,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/sunnyvale-2019-toyota-camry-xse-4dr/7914611162.html,2019 Toyota Camry XSE 4dr Sedan WE SHIP CALIFORNIA CARS ANYWHERE!,7914611162,ctd,True,True,True
165,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/bloomington-2022-toyota-camry-se/7915930311.html,2022 Toyota Camry SE Nightshade • Low Miles • Sporty • Clean,7915930311,ctd,True,True,True
173,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2019-toyota-camry-hybrid-le/7915747918.html,2019 Toyota Camry Hybrid LE 4dr Sedan - We Finance !!!,7915747918,ctd,True,True,True
177,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2014-toyota-camry-se-24l-sport/7915606160.html,"2014 Toyota Camry SE 2.4L Sport, Clean Title/ Runs Great - Navigation",7915606160,ctd,True,True,True
186,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2014-toyota-camry-se-low-93k/7914965259.html,2014 Toyota Camry SE Low 93K Miles Clean Title,7914965259,ctd,True,True,True
186,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/san-jose-toyota-camry-v6-1999/7915496464.html,Toyota Camry V6 1999,7915496464,cto,True,True,True
188,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2020-toyota-camry-hybrid/7915005636.html,2020 Toyota Camry Hybrid XLESedan,7915005636,ctd,True,True,True
195,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/sunnyvale-2021-toyota-camry-le-4dr/7915058268.html,2021 Toyota Camry LE 4dr Sedan WE SHIP CALIFORNIA CARS ANYWHERE!,7915058268,ctd,True,True,True
203,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2012-toyota-camry-se-sport/7915135685.html,2012 Toyota Camry SE Sport Limited Edition 4dr Sedan - We Finance !!!,7915135685,ctd,True,True,True
204,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2013-toyota-camry-le-4dr/7915175178.html,2013 Toyota Camry LE 4dr Sedan,7915175178,ctd,True,True,True
205,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2007-toyota-camry-le-4dr-sedan/7915165402.html,2007 Toyota Camry LE 4dr Sedan (2.4L I4 5A),7915165402,ctd,True,True,True
205,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2022-toyota-camry-lesedan/7915137105.html,2022 Toyota Camry LESedan,7915137105,ctd,True,True,True
238,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2021-toyota-camry-xse/7915498604.html,2021 Toyota Camry XSE AUTONATION,7915498604,ctd,True,True,True
