rank,search_url,url,title,source_listing_id,listing_type,is_camry_keyword,is_toyota_keyword,is_toyota_camry_title
14,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2009-toyota-camry-ce-sedan/7911844548.html,2009 Toyota Camry CE Sedan 4D,7911844548,ctd,True,True,True
14,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/sunnyvale-2012-toyota-corolla-clean/7917713493.html,"2012 Toyota Corolla S CLEAN TITLE Navigation, Bluetooth TRADES OK",7917713493,ctd,False,True,False
15,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2019-ford-super-duty-f350-350/7911876783.html,2019 Ford Super Duty F350 F 350 F-350 DRW Pickup Super Duty F 350 DRW,7911876783,ctd,False,False,False
15,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2020-dodge-challenger-t/7917711869.html,2020 Dodge Challenger R/T,7917711869,ctd,False,False,False
16,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2018-chevrolet-silverado-1500-lt/7911883754.html,2018 Chevrolet Silverado 1500 LT,7911883754,ctd,False,False,False
16,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/san-jose-2018-chevrolet-silverado-1500/7917705998.html,2018 Chevrolet Silverado 1500 LTZ 4WD Crew Cab- Navigation/Camera,7917705998,cto,False,False,False
17,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2015-bmw-650i-650-650-xdrive/7917699776.html,2015 BMW 650i 650 i 650-i xDrive Gran Coupe 650i 650 i 650-i xDrive,7917699776,ctd,False,False,False
17,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2002-toyota-sienna-le-4dr/7911890170.html,2002 Toyota Sienna LE 4dr Mini-Van\*only 53k miles\*CLEAN TITLE,7911890170,ctd,False,True,False
18,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2018-bmw-640i-640-640-xdrive/7917689389.html,2018 BMW 640i 640 i 640-i xDrive MSPORT M SPORT M-SPORT,7917689389,ctd,False,False,False
18,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/los-gatos-1931-ford-hot-rod-limousine/7911891913.html,1931 Ford Hot Rod Limousine/ Trade for??,7911891913,ctd,False,False,False
